I Agree to participate in the research project under the conditions described above,"The name of your institution
","The name of your program of study
",Your current class level is,Your gender,Your current age,Living with family?,Are you happy with your academic  Condition?,Your CGPA ,Are you addicted to any drugs?,Are you in a relationship?,  Did you have a recent breakup?  ,  How often do you conflict with your friend?  ,  Do you have financial problem in your family? ,  Violence in family?  ,  Have you ever been bullied  ,   Have you ever been sexually harassed or abused?  ,How many hours do you spend on social media?  ,"1. I found it hard to wind down
??? ??????? ?? ???????????? ????? ?? ????????? ???????? ???? ??? ???? ???? ???? ???","2. I tended to over-react to situations 
???? ????? ??????? ??????????? ???????? ???????????? ???? ??????? ???","3 .I felt that I was using a lot of nervous energy 
???? ??? ??? ?? ??? ??? ???? ??????? ???? ?????","4.  I found myself getting agitated 
??? ????? ????? ?? ??? ??? ?????? ???? ??????? ","5.  I found it difficult to relax 
???? ??? ??? ???? ???? ???? ??","6.  I was intolerant of anything that kept me from getting on with what I was doing 
???? ???? ???? ??? ??? ?? ??? ?????? ???? ???? ????? ????","7.  I felt that I was rather touchy 
??? ????? ????? ??? ??????? ??? ?????? ???","1. _____ Extraverted, enthusiastic.","2. _____ Critical, quarrelsome.","3. _____ Dependable, self-disciplined.","4. _____ Anxious, easily upset.","5. _____ Open to new experiences, complex.","6. _____ Reserved, quiet.","7. _____ Sympathetic, warm.","8. _____ Disorganized, careless.","9. _____ Calm, emotionally stable","10. _____ Conventional, uncreative."
"Yes, I agree to participate,",EDU,CSE,Freshman (Undergrad),Female,> 25,Yes,Yes,3.01-3.50,No,Yes,Yes,Sometimes,Yes,Most of the time,No,Maybe,< 1 Hours,0,1,2,3,1,2,3,1,5,4,7,7,7,7,5,1,1
"Yes, I agree to participate,",EDU,CSE,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Sometimes,Yes,Never,No,Yes,> 3 Hours,1,3,2,1,3,3,2,6,5,2,7,5,4,7,5,1,5
"Yes, I agree to participate,",East Delta University,Computer Science and Engineering,Senior (Undergrad),Male,> 25,Yes,Yes,> 3.50,No,No,No,Never occurs,No,Never,No,No,> 3 Hours,0,0,0,0,0,0,0,2,5,7,2,5,6,5,5,3,2
"Yes, I agree to participate,",East Delta University ,CSE ,Senior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,Yes,Never,No,No,> 3 Hours,1,1,0,1,2,1,1,1,1,3,4,6,4,6,5,6,1
"Yes, I agree to participate,",East Delta University,BSC in CSE,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,No,Never,No,Maybe,> 3 Hours,2,2,2,3,0,0,0,2,5,6,6,5,5,5,5,3,3
"Yes, I agree to participate,",East Delta University ,CSE,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,Yes,No,Sometimes,Yes,Never,Yes,No,1-3 Hours,3,2,2,1,2,0,1,2,1,6,1,7,7,7,5,6,7
"Yes, I agree to participate,",East Delta University,CSE,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Never occurs,Yes,Never,No,No,> 3 Hours,3,2,1,2,0,2,3,2,5,6,5,3,2,6,5,5,5
"Yes, I agree to participate,",University of Chittagong ,MBA,Graduate student,Male,21-25,Yes,No,3.01-3.50,Yes,Yes,No,Never occurs,No,Never,Yes,Maybe,> 3 Hours,1,0,2,0,0,1,0,7,6,4,5,3,2,6,5,5,2
"Yes, I agree to participate,",East Delta University ,BSc,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Never occurs,No,Rarely,Yes,No,< 1 Hours,0,1,1,2,1,1,1,1,4,5,7,5,2,1,5,1,4
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,No,Never,No,No,< 1 Hours,0,1,0,1,0,0,1,1,7,5,7,5,7,4,5,1,7
"Yes, I agree to participate,",East Delta University ,Computer Science and Engineering,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,No,No,> 3 Hours,0,0,0,0,0,0,0,5,3,6,6,3,7,5,5,5,7
